# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
HD 74156 b,1.88,0.03,0.03,,,,51.65,0.01,0.01,0.294,,,0.64,0.01,0.01,0.004554,,,,,,,,,,,,,,,,,,,,1,2003,2010-12-21,175.8,1.4,1.4,1980.8,0.1,0.1,detected by radial velocity,,,HD 74156,130.6041667,4.5780556,7.62,,,,,64.56,0.13,1.24,1.64,G1V,3.7,5960.0
HD 74156 c,8.03,0.12,0.12,,,,2476.0,8.7,8.7,3.4,,,0.43,0.01,0.01,0.052664,,,,,,,,,,,,,,,,,,,,1,2003,2010-12-21,261.3,2.0,2.0,952.2,13.8,13.8,detected by radial velocity,,,HD 74156,130.6041667,4.5780556,7.62,,,,,64.56,0.13,1.24,1.64,G1V,3.7,5960.0
HD 7449 b,1.11,0.37,0.27,,,,1275.0,15.0,15.0,2.3,0.04,0.04,0.82,0.06,0.06,0.058974,,,,,,,,,,,,,,,,,,,,1,2011,2013-07-04,-21.0,6.0,6.0,2455298.0,22.0,22.0,detected by radial velocity,,,HD 7449,18.6208333,-5.0475,7.5,,,,,39.0,-0.11,1.05,1.01,F8V,2.1,6024.0
HD 7449 c,2.0,0.54,0.36,,,,4046.0,366.0,366.0,4.96,0.3,0.3,0.53,0.08,0.08,0.127179,,,,,,,,,,,,,,,,,,,,1,2011,2013-07-04,11.0,8.0,8.0,2455883.0,172.0,172.0,detected by radial velocity,,,HD 7449,18.6208333,-5.0475,7.5,,,,,39.0,-0.11,1.05,1.01,F8V,2.1,6024.0
HD 75289 b,0.42,,,,,,3.5098,0.0007,0.0007,0.046,,,0.024,0.021,0.021,0.001589,,,,,,,,,,,,,,,,,,,,1,1999,2011-01-01,50.16,49.17,49.17,51355.91,0.48,0.48,detected by radial velocity,,,HD 75289,131.9166667,-41.7366667,6.35,,,,,28.94,0.29,1.05,1.25,G0 V,4.96,6120.0
HD 75898 b,2.51,,,,,,418.2,5.7,5.7,1.19,,,0.1,0.05,0.05,0.014768,,,,,,,,,,,,,,,,,,,,3,2007,2009-10-06,263.7,30.0,30.0,12907.0,37.0,37.0,detected by radial velocity,,,HD 75898,133.4625,33.0569444,8.04,,,,,80.58,0.27,1.28,1.6,G0,3.8,6021.0
HD 76700 b,0.197,0.017,0.017,,,,3.971,0.001,0.001,0.049,0.004,0.004,0.0,0.04,0.04,0.000821,,,,,,,,,,,,,1219.9,0.1,0.1,,,,,1,2002,2010-12-29,,,,,,,detected by radial velocity,,,HD 76700,133.4791667,-66.8008333,8.13,,,,,59.7,0.14,1.0,1.33,G6 V,4.51,5726.0
HD 77338 b,0.5,0.025,0.025,,,,5.7561,0.0015,0.0015,0.0614,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-01-17,,,,,,,detected by radial velocity,,,HD 77338,135.3,-25.5269,8.63,,,,,40.75,0.35,0.93,0.88,K0IV,3.97,5370.0
HD 7924 b,0.029,,,,,,5.3978,0.0015,0.0015,0.057,,,0.17,0.16,0.16,0.003393,,,,,,,,,,,,,,,,,,,,1,2009,2012-11-21,25.0,60.0,60.0,4727.27,0.87,0.87,detected by radial velocity,,,HD 7924,20.4958333,76.7102778,7.185,,,,,16.8,-0.15,0.832,0.78,KOV,,5177.0
HD 79498 b,1.34,0.07,0.07,,,,1966.0,41.0,41.0,3.13,0.08,0.08,0.59,0.02,0.02,0.063878,,,,,,,,,,,,,,,,,,,,1,2012,2012-02-04,221.0,6.0,6.0,2453210.9,39.0,39.0,detected by radial velocity,,,HD 79498,138.7875,23.3755556,8.03,,,,,49.0,0.24,1.06,,G5,2.7,5740.0
HD 80606 b,3.94,0.11,0.11,0.921,0.036,0.036,111.43637,0.0009,0.0009,0.449,0.006,0.006,0.93366,0.00043,0.00043,0.007688,89.285,0.023,0.023,4876.344,0.011,0.011,,,,,,,,,,,,,,1,2001,2012-12-05,300.651,0.109,0.109,2454424.857,0.05,0.05,detected by transit,,K,HD 80606,140.6541667,50.6036111,8.93,,,,,58.4,0.43,0.98,0.98,G5,7.63,5645.0
HD 81040 b,6.86,0.71,0.71,,,,1001.7,7.0,7.0,1.94,,,0.526,0.042,0.042,0.059582,,,,,,,,,,,,,,,,,,,,1,2005,2010-12-23,81.3,7.2,7.2,2452504.0,12.0,12.0,detected by radial velocity,,,HD 81040,140.9458333,20.3644444,7.72,,,,,32.56,-0.16,0.96,0.86,G2/G3,4.18,5700.0
HD 81688 b,2.7,,,,,,184.02,0.18,0.18,0.81,,,0.0,,,0.009177,,,,,,,,,,,,,,,,,,,,1,2008,2008-02-20,,,,2335.4,1.1,1.1,detected by radial velocity,,,HD 81688,142.1666667,45.6013889,5.41,,,,,88.26,-0.359,2.1,13.0,K0III-IV,,4753.0
HD 82886 b,1.3,0.1,0.1,,,,705.0,34.0,34.0,1.65,0.06,0.06,0.27,inf,nan,0.0132,,,,,,,,,,,,,,,,,,,,1,2011,2011-09-02,347.0,80.0,80.0,2455200.0,160.0,160.0,detected by radial velocity,,,HD 82886,143.9375,34.7808333,7.78,,,,,125.0,-0.31,1.06,4.8,G0,7.0,5112.0
HD 82943 b,4.8,,,,,,442.4,,,1.19,0.0,0.0,0.203,,,0.043336,19.4,,,,,,,,,,,,,,,,,,,1,2003,2013-09-09,107.0,,,,,,detected by radial velocity,,,HD 82943,143.7083333,-12.1294444,6.54,,,,,27.46,0.32,1.18,1.12,G0,3.08,5874.0
HD 82943 c,4.78,,,,,,219.3,,,0.746,0.0,0.0,0.425,,,0.027167,19.4,,,,,,,,,,,,,,,,,,,1,2003,2013-09-09,133.0,,,,,,detected by radial velocity,,,HD 82943,143.7083333,-12.1294444,6.54,,,,,27.46,0.32,1.18,1.12,G0,3.08,5874.0
HD 82943 d,0.29,0.031,0.031,,,,1078.0,13.0,13.0,2.145,0.017,0.017,0.0,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-10-30,,,,,,,detected by radial velocity,,,HD 82943,143.7083333,-12.1294444,6.54,,,,,27.46,0.32,1.18,1.12,G0,3.08,5874.0
HD 83443 b,0.4,0.034,0.034,,,,2.985625,0.0006,0.0006,0.0406,0.0033,0.0033,0.008,0.025,0.025,0.000932,,,,,,,,,,,,,,,,,,,,1,2002,2006-11-25,24.0,,,11211.04,0.82,0.82,detected by radial velocity,,,HD 83443,144.2958333,-43.2719444,8.23,,,,,43.54,0.35,0.9,1.04,K0 V,2.94,5460.0
HD 8535 b,0.68,0.04,0.07,,,,1313.0,28.0,28.0,2.45,0.06,0.06,0.15,0.05,0.05,0.046667,,,,,,,,,,,,,,,,,,,,2,2009,2010-09-08,61.0,43.0,43.0,4537.0,92.0,92.0,detected by radial velocity,,,HD 8535,20.9041667,-41.2697222,7.7,,,,,52.5,0.02,1.13,1.19,G0V,,6136.0
HD 85390 b,0.132,0.01,0.01,,,,788.0,25.0,25.0,1.52,0.04,0.04,0.41,0.12,0.12,0.044759,,,,,,,,,,,,,,,,,,,,1,2009,2013-07-04,-94.0,23.0,23.0,,,,detected by radial velocity,,,HD 85390,147.5083333,-49.7902778,8.54,,,,,33.96,-0.07,0.76,,K1V,7.2,5186.0
HD 85390 c,0.2,0.02,0.02,,,,3700.0,840.0,840.0,4.23,0.09,0.09,0.0,0.07,0.07,,,,,,,,,,,,,,,,,,,,,1,2013,2013-07-04,0.0,49.0,49.0,,,,detected by radial velocity,,,HD 85390,147.5083333,-49.7902778,8.54,,,,,33.96,-0.07,0.76,,K1V,7.2,5186.0
HD 85512 b,0.011,0.0016,0.0016,,,,58.43,0.13,0.13,0.26,0.005,0.005,0.11,0.1,0.1,0.023318,,,,,,,,,,,,,,,,,,,,1,2011,2011-09-02,178.0,0.58,0.58,2455239.7088868,,,detected by radial velocity,,,HD 85512,147.7791667,-43.5027778,7.67,,,,,11.15,-0.33,0.69,,K5V,5.61,4715.0
HD 8574 b,2.11,,,,,,227.55,0.77,0.77,0.77,,,0.288,0.053,0.053,0.017421,,,,,,,,,,,,,,,,,,,,1,2003,2009-10-08,3.6,10.9,10.9,2451467.5,6.6,6.6,detected by radial velocity,,,HD 8574,21.3,28.5666667,7.12,,,,,44.2,0.05,1.17,1.37,F8,7.13,6080.0
HD 86081 b,1.5,,,,,,2.1375,0.0002,0.0002,0.039,,,0.008,0.004,0.004,0.000429,,,,,,,,,,,,,,,,,,,,1,2006,2010-12-22,251.0,40.0,40.0,2453694.8,0.3,0.3,detected by radial velocity,,,HD 86081,149.025,-3.8083333,8.73,,,,,91.0,0.257,1.21,1.22,F8V,6.21,6028.0
HD 86226 b,1.5,1.0,1.0,,,,1534.0,280.0,280.0,2.6,0.4,0.4,0.73,0.21,0.21,0.061205,,,,,,,,,,,,,,,,,,,,1,2010,2010-01-26,58.0,50.0,50.0,24552240.0,290.0,290.0,detected by radial velocity,,,HD 86226,149.125,-24.0994444,7.93,,,,,42.48,-0.04,1.02,,G2V,,
HD 86264 b,7.0,1.6,1.6,,,,1475.0,55.0,55.0,2.86,0.07,0.07,0.7,0.2,0.2,0.039394,,,,,,,,,,,,,,,,,,,,1,2009,2009-08-13,306.0,10.0,10.0,15172.0,114.0,114.0,detected by radial velocity,,,HD 86264,149.2416667,-15.895,7.42,,,,,72.6,0.202,1.42,1.88,F7V,2.24,6210.0
HD 8673 b,14.2,1.6,1.6,,,,1634.0,17.0,17.0,3.02,0.15,0.15,0.723,0.016,0.016,0.078954,,,,,,,,,,,,,,,,,,,,1,2010,2010-06-24,323.4,3.5,3.5,2454420.5,7.9,7.9,detected by radial velocity,,,HD 8673,21.5333333,34.5794444,7.57,,,,,38.25,0.0,1.312,1.54,F7 V,1.95,6413.0
HD 87883 b,12.1,10.0,9.2,,,,2754.0,87.0,87.0,3.6,0.08,0.08,0.53,0.12,0.12,0.198895,8.5,3.7,3.7,,,,,,,,,,,,,,,,,1,2009,2011-01-11,191.0,15.0,15.0,11139.0,90.0,90.0,detected by radial velocity,,,HD 87883,152.1791667,34.2422222,7.57,,,,,18.1,0.093,0.82,0.76,K0V,9.8,4980.0
HD 88133 b,0.22,,,,,,3.416,0.0006,0.0006,0.047,,,0.133,0.072,0.072,0.000631,,,,,,,,,,,,,,,,,,,,1,2004,2009-10-06,349.0,,,3016.31,0.32,0.32,detected by radial velocity,,,HD 88133,152.5291667,18.1866667,8.01,,,,,74.5,0.34,1.2,1.93,G5 IV,9.56,5494.0
HD 89307 b,2.0,0.4,0.4,,,,2199.0,61.0,61.0,3.34,0.17,0.17,0.25,0.09,0.09,0.108091,,,,,,,,,,,,,,,,,,,,1,2004,2012-05-25,14.0,33.0,33.0,2454549.0,190.0,190.0,detected by radial velocity,,,HD 89307,154.5875,12.6208333,7.06,,,,,30.9,-0.14,1.028,1.05,G0V,6.76,5950.0
HD 89744 b,7.2,,,,,,256.0,0.7,0.7,0.88,,,0.7,0.02,0.02,0.022,54.0,12.0,12.0,,,,,,,,,,964.0,2.0,2.0,,,,,1,2000,2013-07-04,195.0,3.0,3.0,,,,detected by radial velocity,,,HD 89744,155.5416667,41.2294444,5.74,,,,,40.0,0.18,1.4,2.14,F7 V,2.04,6196.0
HD 89744 c,3.2,0.3,0.3,,,,85.2,0.1,0.1,0.44,0.005,0.005,0.0,0.05,0.05,,,,,,,,,,,,,,,,,,,,,1,2013,2013-07-04,0.0,86.0,86.0,,,,detected by radial velocity,,,HD 89744,155.5416667,41.2294444,5.74,,,,,40.0,0.18,1.4,2.14,F7 V,2.04,6196.0
HD 90156 b,0.057,0.0046,0.0046,,,,49.77,0.07,0.07,0.25,0.004,0.004,0.31,0.1,0.1,0.006313,,,,,,,,,,,,,,,,,,,,2,2009,2010-10-06,113.0,18.0,18.0,,,,detected by radial velocity,,,HD 90156,155.9791667,-29.6455556,6.95,,,,,39.6,-0.24,0.84,,G5V,4.4,5599.0
HD 92788 b,3.86,,,,,,325.81,0.26,0.26,0.97,,,0.334,0.011,0.011,0.029555,8.0,8.0,8.0,,,,,,,,,,,,,,,,,1,2000,2013-07-04,276.4,2.8,2.8,759.2,,,detected by radial velocity,,,HD 92788,160.7,-2.1836111,7.31,,,,,32.82,0.32,1.13,0.99,G5,3.78,5559.0
HD 92788 c,0.9,0.3,0.3,,,,162.0,3.0,3.0,0.6,0.01,0.01,0.04,0.21,0.21,,,,,,,,,,,,,,,,,,,,,1,2013,2013-07-04,0.0,20.0,20.0,,,,detected by radial velocity,,,HD 92788,160.7,-2.1836111,7.31,,,,,32.82,0.32,1.13,0.99,G5,3.78,5559.0
HD 93083 b,0.37,,,,,,143.58,0.6,0.6,0.477,,,0.14,0.03,0.03,0.016505,,,,,,,,,,,,,,,,,,,,1,2005,2010-12-31,333.5,7.9,7.9,53181.7,3.0,3.0,detected by radial velocity,,,HD 93083,161.0833333,-33.5769444,8.3,,,,,28.9,0.15,0.7,,K3 V,6.0,4995.0
HD 93385 b,0.0263,0.00276,0.00276,,,,13.186,0.0059,0.0059,0.1116,0.0018,0.0018,0.15,0.11,0.11,0.002645,,,,,,,,,,,,,,,,,,,,2,2011,2011-09-12,,,,,,,detected by radial velocity,,,HD 93385,161.5625,-41.4644444,7.49,,,,,42.2,,,,G2V,,
HD 93385 c,0.0318,0.00399,0.00399,,,,46.025,0.00725,0.00725,0.257,0.0043,0.0043,0.24,0.18,0.18,0.00609,,,,,,,,,,,,,,,,,,,,2,2011,2011-09-12,,,,,,,detected by radial velocity,,,HD 93385,161.5625,-41.4644444,7.49,,,,,42.2,,,,G2V,,
HD 9446 b,0.7,0.06,0.06,,,,30.052,0.027,0.027,0.189,0.006,0.006,0.2,0.06,0.06,0.003566,,,,,,,,,,,,,,,,,,,,1,2010,2010-01-05,-145.0,30.0,30.0,2454854.4,2.0,2.0,detected by radial velocity,,,HD 9446,23.3333333,29.2652778,8.35,,,,,53.0,0.09,1.0,1.0,G5V,,5793.0
HD 9446 c,1.82,0.17,0.17,,,,192.9,0.9,0.9,0.654,0.022,0.022,0.06,0.06,0.06,0.01234,,,,,,,,,,,,,,,,,,,,1,2010,2010-01-05,-260.0,130.0,130.0,2454510.0,70.0,70.0,detected by radial velocity,,,HD 9446,23.3333333,29.2652778,8.35,,,,,53.0,0.09,1.0,1.0,G5V,,5793.0
HD 95086 b,4.5,0.5,0.5,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,1,2013,2013-09-09,,,,,,,detected by imaging,,,HD 95086,164.2625,-68.6672,7.36,,,,,90.4,,1.6,,A8III,0.0135,
HD 95089 b,1.2,0.1,0.1,,,,507.0,16.0,16.0,1.51,0.05,0.05,0.157,0.086,0.086,0.010863,,,,,,,,,,,,,,,,,,,,2,2010,2010-03-19,317.0,60.0,60.0,2454983.0,90.0,90.0,detected by radial velocity,,,HD 95089,164.7,1.7291667,7.92,,,,,139.0,0.05,1.58,4.9,K0 IV,2.5,5002.0
HD 9578 b,0.62,,,,,,494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2009,2010-12-06,,,,,,,detected by radial velocity,,,HD 9578,23.3208333,-38.245,8.21,,,,,57.24,0.11,1.12,,G1V,,
HD 96063 b,0.9,0.1,0.1,,,,361.1,9.9,9.9,0.99,0.03,0.03,0.28,inf,nan,0.006266,,,,,,,,,,,,,,,,,,,,1,2011,2011-09-02,90.0,100.0,100.0,2455260.0,120.0,120.0,detected by radial velocity,,,HD 96063,166.1833333,-2.5133333,8.37,,,,,158.0,-0.3,1.02,4.5,K0,9.0,5148.0
HD 96127 b,4.0,,,,,,647.3,16.8,16.8,1.4,,,0.3,0.1,0.1,0.002593,,,,,,,,,,,,,,,,,,,,2,2011,2011-10-11,162.0,18.2,18.2,43969.4,31.0,31.0,detected by radial velocity,,,HD 96127,166.4416667,44.3016667,7.43,,,,,540.0,-0.24,0.91,35.0,K2III,,4152.0
HD 96167 b,0.68,0.18,0.18,,,,498.9,1.0,1.0,1.3,0.07,0.07,0.71,0.04,0.04,0.015476,,,,,,,,,,,,,,,,,,,,1,2009,2009-04-21,285.0,7.0,7.0,2453057.0,5.0,5.0,detected by radial velocity,,,HD 96167,166.3125,-10.2913889,8.09,,,,,84.0,0.34,1.31,1.86,G5D,3.8,5770.0
HD 96700 b,0.0284,0.002,0.002,,,,8.1256,0.0013,0.0013,0.0774,0.0012,0.0012,0.1,0.05,0.05,0.003023,,,,,,,,,,,,,,,,,,,,2,2011,2011-09-12,,,,,,,detected by radial velocity,,,HD 96700,166.975,-30.1744444,6.5,,,,,25.6,,,,G0V,,
HD 96700 c,0.04,0.005,0.005,,,,103.49,0.5794,0.5794,0.422,0.0073,0.0073,0.37,0.19,0.19,0.016484,,,,,,,,,,,,,,,,,,,,2,2011,2011-09-12,,,,,,,detected by radial velocity,,,HD 96700,166.975,-30.1744444,6.5,,,,,25.6,,,,G0V,,
HD 97658 b,0.0247302016801,0.00229682534688355,0.00229682534688355,0.208761189689,0.0160585530529986,0.0160585530529986,9.4909,0.0016,0.0016,0.0796,0.0012,0.0012,0.063,0.044,0.059,0.003777,89.45,0.37,0.43,2456361.8051,0.0034,0.0034,,,,,,,,,,,,,,2,2010,2014-05-21,-9.0,66.0,66.0,,,,detected by transit,,,HD 97658,168.6375,25.7102778,6.27,,,,,21.1,-0.23,0.85,0.73,K1V,,5170.0
HD 98219 b,1.8,0.1,0.1,,,,436.9,4.5,4.5,1.23,0.03,0.03,0.21,inf,nan,0.009179,,,,,,,,,,,,,,,,,,,,1,2011,2011-09-02,47.0,30.0,30.0,2455140.0,40.0,40.0,detected by radial velocity,,,HD 98219,169.45,-23.9752778,8.21,,,,,134.0,-0.02,1.3,4.5,K0III/IV,4.0,4992.0
HD 98649 b,6.8,0.5,0.5,,,,4951.0,607.0,465.0,5.6,0.4,0.4,0.85,0.05,0.05,,,,,,,,,,,,,,,,,,,,,2,2011,2012-11-30,,,,2450271.0,22.0,22.0,detected by radial velocity,,,HD 98649,170.2166667,-23.2172222,8.03,,,,,40.3,,,,G4V,,
HD 99109 b,0.502,0.07,0.07,,,,439.3,5.6,5.6,1.105,0.065,0.065,0.09,0.16,0.16,0.018264,,,,,,,,,,,,,,,,,,,,1,2006,2006-07-15,256.0,,,11310.0,80.0,80.0,detected by radial velocity,,,HD 99109,171.0708333,-1.5288889,9.1,,,,,60.5,0.315,0.93,,K0,12.2,5272.0
HD 99492 b,0.109,0.013,0.013,,,,17.0431,0.0047,0.0047,0.1232,0.0071,0.0071,0.254,0.092,0.092,0.006844,,,,,,,,,,,,,,,,,,,,1,2004,2006-07-15,219.0,22.0,22.0,10468.7,1.4,1.4,detected by radial velocity,,,HD 99492,171.6916667,3.0061111,7.38,,,,,18.0,0.36,0.83,0.96,K2V,4.0,4740.0
HD 99492 c,0.36,0.02,0.02,,,,4970.0,149.0,149.0,5.4,0.1,0.1,0.106,0.006,0.006,0.3,,,,,,,,,,,,,,,,,,,,1,2010,2010-11-19,38.0,2.0,2.0,9636.0,63.0,63.0,detected by radial velocity,,,HD 99492,171.6916667,3.0061111,7.38,,,,,18.0,0.36,0.83,0.96,K2V,4.0,4740.0
HD 99706 b,1.4,0.1,0.1,,,,868.0,31.0,31.0,2.14,0.08,0.08,0.365,0.1,0.1,0.016589,,,,,,,,,,,,,,,,,,,,1,2011,2011-09-02,359.0,20.0,20.0,2455219.0,30.0,30.0,detected by radial velocity,,,HD 99706,172.125,43.9666667,7.81,,,,,129.0,0.14,1.72,5.4,K0,2.1,4932.0
HIP 12961 b,0.35,,,,,,57.435,0.042,0.042,0.13,,,0.16,0.03,0.03,0.005652,,,,,,,,,,,,,,,,,,,,1,2009,2011-11-23,272.0,13.0,13.0,2454428.4,2.0,2.0,detected by radial velocity,,,HIP 12961,41.6791667,-23.0866667,10.31,,,,,23.0,-0.07,0.67,,M0V,,
HIP 14810 b,3.88,0.32,0.32,,,,6.673855,1.9e-05,1.9e-05,0.0692,0.004,0.004,0.1427,0.00094,0.00094,0.001308,,,,,,,,,,,,,,,,,,,,1,2006,2013-05-20,159.32,0.38,0.38,3694.598,0.007,0.007,detected by radial velocity,,,HIP 14810,47.8083333,21.0972222,8.52,,,,,52.9,0.26,0.99,1.0,G5,,5485.0
HIP 14810 c,1.28,0.1,0.1,,,,147.73,0.065,0.065,0.545,0.031,0.031,0.164,0.012,0.012,0.010302,,,,,,,,,,,,,,,,,,,,2,2006,2013-05-20,329.0,2.5,2.5,4672.24,0.0073,0.0073,detected by radial velocity,,,HIP 14810,47.8083333,21.0972222,8.52,,,,,52.9,0.26,0.99,1.0,G5,,5485.0
HIP 14810 d,0.57,0.052,0.052,,,,962.0,15.0,15.0,1.89,0.11,0.11,0.173,0.037,0.037,0.035728,,,,,,,,,,,,,,,,,,,,1,2009,2013-05-20,286.0,19.0,19.0,4317.198,0.0073,0.0073,detected by radial velocity,,,HIP 14810,47.8083333,21.0972222,8.52,,,,,52.9,0.26,0.99,1.0,G5,,5485.0
HIP 5158 b,1.44,0.14,0.14,,,,345.63,1.99,1.99,0.89,0.01,0.01,0.54,0.04,0.04,0.019778,,,,,,,,,,,,,,,,,,,,2,2009,2011-05-06,70.0,4.0,4.0,54580.49,15.2,15.2,detected by radial velocity,,,HIP 5158,16.5083333,-22.4530556,10.21,,,,,45.0,0.1,0.78,,K5V,6.0,4962.0
HIP 5158 c,15.04,10.55,10.55,,,,9018.0,3181.0,3181.0,7.7,1.88,1.88,0.14,0.1,0.1,0.171111,,,,,,,,,,,,,,,,,,,,1,2010,2011-05-06,142.0,75.0,75.0,,,,detected by radial velocity,,,HIP 5158,16.5083333,-22.4530556,10.21,,,,,45.0,0.1,0.78,,K5V,6.0,4962.0
HIP 57050 b,0.298,0.025,0.025,,,,41.397,0.016,0.016,0.163506,4.2e-05,4.2e-05,0.314,0.086,0.086,0.014864,,,,,,,,,,,,,,,,,,,,1,2010,2010-04-27,238.1,23.2,23.2,,,,detected by radial velocity,,,HIP 57050,175.4375,42.7519444,11.9,,,,,11.0,0.32,0.34,0.4,M4V,,3190.0
HIP 57274 b,0.036,0.004,0.004,,,,8.1352,0.004,0.004,0.07,,,0.187,0.1,0.1,0.002701,,,,,,,,,,,,,,,,,,,,2,2011,2013-05-20,81.0,59.0,59.0,2454801.015,1.3,1.3,detected by radial velocity,,,HIP 57274,176.1708333,30.9591667,8.96,,,,,25.92,0.09,0.73,0.68,K5V,7.87,4640.0
HIP 57274 c,0.41,0.01,0.01,,,,32.03,0.02,0.02,0.178,,,0.05,0.02,0.02,0.006867,,,,,,,,,,,,,,,,,,,,2,2011,2013-05-20,256.2,120.0,120.0,2455793.035,0.176,0.176,detected by radial velocity,,,HIP 57274,176.1708333,30.9591667,8.96,,,,,25.92,0.09,0.73,0.68,K5V,7.87,4640.0
HIP 57274 d,0.527,0.025,0.025,,,,431.7,8.5,8.5,1.01,,,0.27,0.05,0.05,0.038966,,,,,,,,,,,,,,,,,,,,2,2011,2013-05-20,187.2,0.5,0.5,,,,detected by radial velocity,,,HIP 57274,176.1708333,30.9591667,8.96,,,,,25.92,0.09,0.73,0.68,K5V,7.87,4640.0
HIP 63242 b,9.18,,,,,,124.6,,,0.565,,,0.23,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-07-21,118.2,,,2455376.2,,,detected by radial velocity,,,HIP 63242,194.3833,-65.6464,6.86,,,,,135.0,-0.31,1.54,,G8III,,
HIP 70849 b,9.0,6.0,6.0,,,,10000.0,8000.0,8000.0,10.0,5.5,5.5,0.6,0.13,0.13,0.416667,,,,,,,,,,,,,,,,,,,,1,2009,2011-07-05,,,,,,,detected by radial velocity,,,HIP 70849,217.3291667,-46.4638889,10.36,,,,,24.0,,0.63,,K7V,3.0,4105.0
HIP 75458 b,8.82,0.72,0.72,,,,510.702,0.07,0.07,1.275,0.074,0.074,0.713,0.008,0.008,0.040476,69.9,43.3,43.3,,,,,,,,,,,,,,,,,1,2002,2012-08-10,92.5,0.7,0.7,2015.36,0.16,0.16,detected by radial velocity,,,HIP 75458,231.2291667,58.9658333,3.31,,,,,31.5,0.15,1.4,12.8,K2 III,,4445.0
HIP 77900 b,20.0,7.0,3.0,,,,,,,3200.0,300.0,300.0,,,,,,,,,,,,,,,,,,,,2400.0,,,,1,2013,2013-08-14,,,,,,,detected by imaging,,,HIP 77900,238.625,-27.3386,,,,,,,,,,B6,,13700.0
HIP 78530 b,23.04,4.0,4.0,,,,,,,710.0,60.0,60.0,,,,4.530951,,,,,,,,,,,,,,,,,,,,1,2011,2011-01-26,,,,,,,detected by imaging,,,HIP 78530,240.4791667,-21.9802778,7.18,,,,,156.7,,2.5,,B9V,0.011,10500.0
HIP 79431 b,2.1,,,,,,111.7,0.7,0.7,0.36,,,0.29,,,0.025,,,,,,,,,,,,,,,,,,,,1,2010,2010-01-11,287.4,3.2,3.2,2454980.3,1.2,1.2,detected by radial velocity,,,HIP 79431,243.175,-18.8755556,11.34,,,,,14.4,0.4,0.49,,M3V,,3191.0
HIP 91258 b,1.068,0.038,0.038,,,,5.0505,0.0015,0.0015,0.057,0.0009,0.0009,0.024,0.014,0.014,,,,,,,,,,,,,,,,,,,,,1,2013,2013-11-25,276.0,64.0,64.0,2456164.275,0.028,0.028,detected by radial velocity,,,HIP 91258,279.220833351,61.702500016,8.65,,,,,44.9,0.23,0.95,,G5V,2.4,5519.0
HN Peg b,16.0,9.4,9.4,1.1,0.06,0.06,,,,795.0,15.0,15.0,,,,43.206522,,,,,,,,,,,,,,,,,,,,1,2007,2011-04-23,,,,,,,detected by imaging,,,HN Peg,326.1291667,14.7719444,6.0,,,,,18.4,,1.0,,G0V,0.2,
HR 228 b,2.37,0.34,0.34,,,,360.2,1.4,1.4,1.19,0.05,0.05,0.13,0.06,0.06,,,,,,,,,,,,,,,,,,,,,1,2012,2013-07-22,,,,,,,detected by radial velocity,,,HR 228,12.3083,-24.1366728889,5.893,,,,,,0.01,1.7,,K0III,,
HR 228 c,2.37,0.38,0.38,,,,2732.0,81.0,81.0,4.6,0.23,0.23,0.23,0.07,0.07,,,,,,,,,,,,,,,,,,,,,1,2012,2013-07-22,,,,,,,detected by radial velocity,,,HR 228,12.3083,-24.1366728889,5.893,,,,,,0.01,1.7,,K0III,,
HR 810 b,2.26,0.18,0.18,,,,320.1,2.1,2.1,0.925,0.104,0.104,0.161,0.069,0.069,0.053873,,,,,,,,,,,,,,,,,,,,1,1999,2010-12-29,83.0,11.0,11.0,2450307.0,3.0,3.0,detected by radial velocity,,,HR 810,40.6291667,-50.8033333,5.4,,,,,17.17,0.25,1.11,1.85,G0V pecul.,3.6,5997.0
HR 8799 b,7.0,2.0,4.0,1.1,0.1,0.1,164250.0,,,68.0,,,0.0,,,1.725888,28.0,,,,,,,,,,,,2047.1,,,,,,,1,2008,2013-08-30,,,,,,,detected by imaging,,,HR 8799,346.8708333,21.1341667,5.96,,,,,39.4,-0.47,1.56,1.5,A5V,0.06,
